id,lng,lat,depth,order
1200,-87.6510578,41.7166716,2,10467
1201,-87.6738636,41.8231182,2,16894
1202,-87.6705418,41.8368319,3,18529
1203,-87.6030031,41.6875794,2,15936
1204,-87.6019109,41.6867731,2,20324
1205,-87.6032501,41.6859059,1,5385
1206,-87.5905825,41.8060667,3,19783
1207,-87.5897603,41.8105613,7,27431
1208,-87.6074416,41.7402656,1,28
1209,-87.6073524,41.7415723,1,29
1210,-87.7165924,41.8893582,2,9787
1211,-87.6608504,41.8997018,1,6815
1212,-87.6952044,41.7705815,1,2425
1213,-87.6954022,41.7707924,3,20826
1214,-87.7390655,41.7530154,1,30
1215,-87.7366111,41.7527412,1,31
1216,-87.5853141,41.6601494,1,5890
1217,-87.5903633,41.6604318,1,6816
1218,-87.6279118,41.7654589,26,31909
1219,-87.6265394,41.7653487,53,32106
1220,-87.8464461,41.9809517,2,6318
1221,-87.8464219,41.9801042,1,2956
1222,-87.8464962,41.9737114,9,28807
1223,-87.7646441,41.8718293,11,30106
1224,-87.780008,41.9796611,1,9097
1225,-87.7840487,41.9828979,3,22523
1226,-87.8365129,41.9795518,14,30517
1227,-87.6348292,41.7915399,1,32
1228,-87.6347783,41.7918553,2,4327
1229,-87.7383414,41.9585842,8,28280
1230,-87.5376791,41.7168235,1,2426
1231,-87.6272951,41.714868,1,33
1232,-87.6260892,41.7148888,1,34
1233,-87.6248844,41.7148975,1,35
1234,-87.659781,41.7959323,1,10468
1235,-87.6598278,41.7977419,7,28735
1236,-87.6594089,41.7977558,1,5891
1237,-87.7137078,41.8897429,2,9788
1238,-87.7124787,41.8897576,1,2957
1239,-87.7112685,41.889772,7,27201
1240,-87.7088298,41.8898011,1,4328
1241,-87.7063797,41.8898303,12,30428
1242,-87.7051586,41.8898448,2,9789
1243,-87.7039242,41.8898595,3,14899
1244,-87.7027331,41.8898737,1,5386
1245,-87.6058826,41.6873894,1,2373
1246,-87.6857325,41.9282561,1,36
1247,-87.704558,41.8297573,4,24142
1248,-87.7005223,41.8308705,1,6817
1249,-87.6979371,41.8316931,6,27937
1250,-87.6826663,41.7410108,1,2958
1251,-87.6834837,41.7938582,2,15937
1252,-87.786541,41.9820678,1,5892
1253,-87.7017484,41.8955996,2,10469
1254,-87.7014936,41.889684,6,26077
1255,-87.745942,41.9643976,3,21294
1256,-87.6255626,41.7483516,1,5893
1257,-87.6902038,41.9282432,1,7506
1258,-87.7070807,41.9206739,15,31160
1259,-87.7068662,41.9247262,6,26405
1260,-87.6786965,41.6898631,1,2959
1261,-87.6784566,41.6895452,2,9727
1262,-87.5612197,41.7210778,1,37
1263,-87.5606838,41.7210823,2,9790
1264,-87.6924088,41.8758625,1,5894
1265,-87.6953389,41.8759873,3,17750
1266,-87.6452381,41.8786002,1,38
1267,-87.6809434,41.927425,2,9791
1268,-87.8465831,41.9628649,1,2427
1269,-87.5688354,41.7371438,15,31358
1270,-87.5593098,41.6522557,2,4329
1271,-87.620699,41.668192,1,39
1272,-87.6201693,41.668195,2,10470
1273,-87.8366301,41.9757037,1,5895
1274,-87.6067635,41.7640322,2,10471
1275,-87.6314376,41.8280349,1,5896
1276,-87.683366,41.8749603,2,15938
1277,-87.8267821,41.9750506,1,40
1278,-87.6031069,41.71746,1,41
1279,-87.6018952,41.7174942,1,42
1280,-87.7067954,41.9223313,1,6818
1281,-87.6549209,41.7959893,1,10472
1282,-87.7020357,41.9215,3,12278
1283,-87.7016349,41.9211422,2,10473
1284,-87.6300538,41.7766076,2,15939
1285,-87.7022154,41.9207047,5,25544
1286,-87.5294627,41.6918182,2,17751
1287,-87.6298762,41.8107519,2,2960
1288,-87.6304843,41.8099195,2,10474
1289,-87.7197789,41.873518,4,25138
1290,-87.7192393,41.8744742,3,17752
1291,-87.622293,41.7162907,1,6819
1292,-87.6214649,41.7153963,2,19784
